GeneID,Base Mean,log2(FC),stdError,Wald stats,Pval,AdjP,% WT
Irf2bpl,541.3653347,-0.331803504,0.093065746,-3.56525917,0.000363497,0.017061961,0.79454261
RP23-442G9.5,666.8383824,-0.403551839,0.11329521,-3.561949707,0.000368111,0.017216162,0.755994771
Fbxo11,547.9713587,-0.29990616,0.084394589,-3.553618355,0.00037997,0.017706884,0.812305231
Arsb,379.720758,-0.378893628,0.106701331,-3.550973773,0.000383809,0.017792213,0.769027115
Tjp1,611.8978955,0.54748325,0.154200339,3.550467218,0.000384548,0.017792213,1.461533857
Disp2,3842.708082,-0.294636708,0.083084112,-3.546246118,0.000390761,0.018015337,0.815277605
Myo1e,1361.249058,-0.486451617,0.137270455,-3.543745931,0.000394485,0.018122538,0.713778516
Capn1,1592.75831,-0.220102116,0.062212652,-3.537899564,0.000403323,0.018398082,0.858504668
Slc16a12,106.6169239,-0.631856891,0.178577777,-3.538272792,0.000402754,0.018398082,0.645345257
Lima1,152.2237076,0.538550418,0.15233322,3.535344535,0.000407244,0.018511731,1.452512338
Cobl,629.3328643,-0.567112861,0.160661757,-3.529855968,0.000415786,0.018833941,0.674966188
RP24-399B3.1,63.68188149,-0.623905908,0.176866604,-3.527550678,0.000419423,0.018932512,0.648911704
Kcnk13,87.79315885,-0.63653726,0.180599671,-3.524575975,0.000424161,0.019079888,0.643255031
Ctsb,8370.285396,-0.243269713,0.069039041,-3.523654295,0.000425639,0.019080124,0.844828429
Pde4c,76.68624035,-0.831395302,0.23652917,-3.514979999,0.000439787,0.019597357,0.561985455
Ryk,116.0839098,0.546095445,0.155373417,3.514728929,0.000440203,0.019597357,1.460128606
C1qtnf6,27.40992099,-0.658910585,0.187692662,-3.510582564,0.000447126,0.019837385,0.633356379
Eif5a,1161.143747,-0.273890054,0.078132075,-3.50547523,0.000455793,0.020147877,0.827086397
Puf60,41.02899865,0.825890456,0.235656666,3.504634391,0.000457235,0.020147877,1.772628798
Syt6,912.4046928,-0.41516526,0.118694182,-3.497772635,0.000469161,0.020603321,0.749933585
Ube2ql1,483.2559837,-0.447618682,0.128030053,-3.496200082,0.000471935,0.020655114,0.733252158
St6galnac3,118.5904309,-0.545907415,0.156285539,-3.493012968,0.000477603,0.020832831,0.684960446
Sae1,361.0239234,-0.346251606,0.099218701,-3.489781686,0.000483415,0.021015587,0.786625246
Gnl1,540.6726577,-0.37879204,0.108634208,-3.486857839,0.000488731,0.021105037,0.769081269
Slc37a1,147.063053,-0.467622127,0.134104366,-3.487001512,0.000488469,0.021105037,0.723155533
Auts2,662.4915711,-0.802356468,0.230184908,-3.485704055,0.000490844,0.021108408,0.573411813
F13a1,57.94074628,0.734431129,0.210738365,3.485037619,0.000492068,0.021108408,1.663741308
