GeneID,Base mean,log2(FC),StdErr,Wald-Stats,PVal,AdjP,% WT
RP24-454N4.2,173.0613258,0.454499057,0.158620101,2.86533078,0.004165739,0.151287878,
Nrp2,830.1543066,-0.319315137,0.111547692,-2.862588457,0.00420196,0.152267931,
Rplp2,3893.017725,0.261373731,0.091487855,2.856922728,0.0042777,0.154672613,
Tgfbr3l,168.1116449,0.515275726,0.180570397,2.853600235,0.004322689,0.155957318,
G2e3,42.28090696,0.521191215,0.182779263,2.851478914,0.004351637,0.15665894,
Hpx,19.54777599,0.476492112,0.167166805,2.850399112,0.00436644,0.156849375,
Qprt,80.79242986,0.525986959,0.184642683,2.848674808,0.004390173,0.157035041,
Ywhaz,161.299637,-0.538105272,0.188899028,-2.848639712,0.004390657,0.157035041,
Slc12a5,156.0257073,0.516689101,0.181592469,2.845322302,0.004436651,0.15833657,
Cntfr,2815.012219,0.261438691,0.091913378,2.844403042,0.004449473,0.158451195,
Mon1b,656.0646677,-0.334710095,0.117877328,-2.839478128,0.004518739,0.159722546,
Nova1,339.1603478,0.426641231,0.150297228,2.838650034,0.004530482,0.159722546,
Nxpe2,20.65223644,-0.46724449,0.164604923,-2.838581511,0.004531454,0.159722546,
RP24-375H14.1,791.8385257,-0.333247845,0.117405704,-2.838429776,0.004533609,0.159722546,
Slc12a4,953.6254701,0.35401298,0.124649506,2.840067253,0.004510402,0.159722546,
Batf3,33.70871987,0.532661642,0.187777323,2.836666505,0.00455872,0.160264771,
Cox6b2,99.91407319,0.501061278,0.176840624,2.833405961,0.004605486,0.161171257,
Cul7,1443.409059,0.268335341,0.094736796,2.832429987,0.004619568,0.161171257,
Mier1,421.8678321,-0.481056749,0.169796126,-2.833143245,0.004609273,0.161171257,
Mta3,552.2303995,-0.461162718,0.162831278,-2.832150692,0.004623605,0.161171257,
Ndufa3,960.2399556,0.31852315,0.112520928,2.830790284,0.004643316,0.161516849,
Rab30,79.76724291,0.520746234,0.184157098,2.827728282,0.004687958,0.162726418,
Ift80,439.5422514,0.454137539,0.160648681,2.826898643,0.00470012,0.162805844,
Ano3,2203.790956,-0.365691096,0.129660458,-2.820374851,0.004796758,0.162943649,
Banp,238.3087144,-0.430575724,0.152404763,-2.825211734,0.004724938,0.162943649,
Bzrap1,450.8879919,-0.430896743,0.152665844,-2.822482955,0.004765335,0.162943649,
Ccne2,67.08776863,-0.531938033,0.188561945,-2.821025385,0.004787041,0.162943649,
Ralgds,705.2608292,-0.5036039,0.178573617,-2.82014728,0.004800161,0.162943649,
RP23-197K11.5,48.10233529,-0.533711682,0.189173913,-2.821275272,0.004783314,0.162943649,
RP23-59N8.2,22.13824719,0.459113275,0.162720478,2.821484312,0.004780198,0.162943649,
RP24-179D17.1,841.9403082,-0.398241017,0.141167637,-2.821050394,0.004786668,0.162943649,
Rps5,129.5941869,0.532756036,0.188923083,2.819962636,0.004802924,0.162943649,
Tmem176a,2232.871979,0.327186521,0.115979831,2.82106396,0.004786466,0.162943649,
Fam168b,428.7011275,-0.518294152,0.183867811,-2.818841142,0.004819736,0.163178265,
Syt13,294.6526842,0.403169594,0.143121973,2.816965044,0.00484798,0.16379815,
Ndufb9,4857.352158,0.24112349,0.08572999,2.812592083,0.004914395,0.165027587,
Rpl31-ps8,1689.919122,0.317499689,0.11285694,2.813293453,0.004903688,0.165027587,
Taz,313.2947511,-0.484488352,0.172235874,-2.812935202,0.004909154,0.165027587,
Zfp871,60.56661866,-0.525251937,0.18690806,-2.810215548,0.004950833,0.165913284,
RP23-83G6.1,1658.618825,0.42789459,0.152466272,2.806486858,0.005008496,0.167505222,
Mrps16,1160.361192,0.274011056,0.097711385,2.804289969,0.005042753,0.167972574,
Nsun4,359.5824087,-0.432310677,0.154160799,-2.804284106,0.005042845,0.167972574,
Caly,818.3049731,0.408341028,0.145672585,2.803142586,0.005060729,0.168126016,
Dynlt1a,422.5457865,0.430244212,0.153516171,2.802598639,0.005069271,0.168126016,
RP24-263E2.3,1632.235172,-0.407734396,0.145513358,-2.802040999,0.005078042,0.168126016,
Pfdn5,3498.948861,0.247651954,0.088438866,2.800261537,0.005106122,0.168716907,
Gnaq,5105.066018,-0.282409155,0.101080187,-2.793912079,0.005207463,0.169042216,
Kdm5c,1021.084749,-0.309978558,0.110947877,-2.793911576,0.005207472,0.169042216,
Phf21a,38.61295964,-0.423832165,0.151471843,-2.798092087,0.005140545,0.169042216,
RP23-250A14.2,319.5544405,-0.407423738,0.145805032,-2.79430506,0.005201139,0.169042216,
RP23-63L7.2,17.70150784,0.444251898,0.158927869,2.795305197,0.005185074,0.169042216,
RP24-350L19.1,14.71222559,0.457552597,0.163595549,2.796852363,0.005160311,0.169042216,
Tmem147,2772.69554,0.26191066,0.093614784,2.797748897,0.00514601,0.169042216,
Vgf,8059.018935,0.306881535,0.109810354,2.794650275,0.005195589,0.169042216,
Zfyve28,2037.805346,-0.268819202,0.096217715,-2.793863916,0.005208239,0.169042216,
RP23-3F1.4,416.3954112,-0.366564526,0.131260988,-2.792638798,0.005228003,0.169350332,
Usp46,1054.580642,0.359140339,0.128696326,2.790602895,0.005260998,0.170084955,
Cnot3,632.056006,0.373939388,0.134120915,2.788076618,0.0053022,0.170414576,
Klhl5,2674.032901,-0.228897198,0.082084911,-2.788541709,0.005294593,0.170414576,
Tmem145,677.4131415,0.349611604,0.125357408,2.788918576,0.005288436,0.170414576,
Cox8a,13117.78698,0.236997483,0.085072926,2.785815598,0.005339324,0.171273867,
Isg20,57.32632034,0.519808261,0.186692184,2.784306502,0.005364232,0.171738743,
Bglap,151.3165755,-0.526899251,0.189397336,-2.781978161,0.005402868,0.172413896,
Glg1,1818.05307,-0.406569415,0.146187582,-2.781148771,0.005416691,0.172413896,
Ift27,618.0825125,0.31941912,0.114843659,2.781338771,0.005413521,0.172413896,
Bcl2l2,2963.258004,-0.303501405,0.109162531,-2.78027087,0.005431357,0.17254763,
Hoxd3,120.2514275,-0.475026296,0.171236335,-2.774097548,0.005535508,0.175518175,
Ndufs7,4125.133588,0.258280689,0.093173619,2.772036687,0.005570676,0.176294246,
