,Trim on data 8,Trim on data 7,Trim on data 6,Trim on data 5,Trim on data 1,Trim on data 2,Trim on data 3,Trim on data 4
RP23-331I23.3,5.581568222,21.01846809,12.93927068,5.611782519,5.536603684,3.576880178,7.070675979,2.317859081
RP23-331I23.5,7.987048864,13.36169644,6.466066247,8.944717872,6.135892333,13.83172566,12.2889592,16.19476761
RP23-331L12.10,0,0,0,0,0,0,0,0
RP23-331L12.5,0,0,0,0,2.045297444,0,0,4.763166943
RP23-331L12.6,0.887449874,2.055645606,1.847447499,0,1.022648722,0,0,5.715800332
RP23-331L12.7,0.887449874,6.166936819,1.847447499,0,1.022648722,3.191936691,0,0
RP23-331L13.2,0,0,0,0,0,0,0,0
RP23-331L5.1,1.774899747,1.027822803,1.847447499,0,1.022648722,3.191936691,2.048159867,1.905266777
RP23-331M13.7,0,0,0,0,0,0,0,0
RP23-331M13.8,0,0,0,0,0,0,0,0
RP23-331M13.9,0,0,0,0,0,0,0,0
RP23-331M15.1,0.887449874,0,0.92372375,2.236179468,0,2.127957794,1.024079934,0
RP23-331M15.2,0,0,0,1.118089734,0,0,0,0
RP23-331P14.1,0.887449874,1.027822803,0,1.118089734,1.022648722,0,0,0
RP23-331P17.1,0,0,0,0,0,0,0,0
RP23-331P21.2,0,0,0,0,0,0,0,0
RP23-331P21.6,0,0,0,0,0,0,0,0.952633389
RP23-331P21.7,0,1.027822803,1.847447499,0,0,0,0,0
RP23-331P8.5,0,0,0,0,0,0,0,0
RP23-332E2.2,0,1.027822803,0,1.118089734,0,0,1.024079934,0
RP23-332E2.3,0,0,0,0,0,1.063978897,1.024079934,0
RP23-332E2.6,0,1.027822803,0,0,0,1.063978897,1.024079934,0
RP23-332E2.7,121.5806327,160.3403573,159.8042087,121.871781,120.6725492,84.05433287,117.7691924,156.2318757
RP23-332G12.1,2.662349621,8.222582425,0.92372375,6.708538404,7.158541056,1.063978897,5.120399669,4.763166943
RP23-332G19.1,0,0,0,0,0,0,0,0
RP23-332I1.2,0,0,0,0,0,0,0,0
RP23-332I1.7,0,0,0,0,0,0,0,0
RP23-332J14.3,0,0,0,0,0,0,0,0
RP23-332K10.1,2326.841543,2109.732771,2199.951663,1802.04381,1716.910698,1937.400349,1825.984368,1671.072617
RP23-332K7.1,12.42429823,4.111291213,9.237237496,3.354269202,5.113243611,0,4.096319735,6.66843372
RP23-332K7.3,0,0,0,0,0,0,0,0
RP23-332L16.1,0,0,0,0,0,0,0,0
RP23-332L23.1,0,0,0,0,0,0,0,0
RP23-332L23.2,0,0,0,0,0,0,0,0
RP23-332L23.3,0,0,0,0,0,1.063978897,0,0
RP23-332L7.1,0.887449874,3.08346841,0,0,1.022648722,1.063978897,0,0.952633389
RP23-332O12.8,0.887449874,0,0,1.118089734,0,0,1.024079934,0
RP23-332O18.1,0,0,0,0,0,0,0,0
RP23-332O18.2,40.82269419,25.69557008,32.33033124,46.95976883,20.45297444,45.75109257,50.17991675,37.15270216
RP23-332O3.1,0,0,0,0,0,0,0,0
RP23-332P1.1,2.184016794,0.672438727,0,2.479857027,1.338107314,0,1.339980014,1.246494204
RP23-332P8.3,2.662349621,1.027822803,0.92372375,1.118089734,0,0,3.072239801,0
RP23-332P8.5,4.437249369,6.166936819,3.694894998,5.59044867,5.113243611,5.319894485,13.31303914,7.621067109
RP23-333A16.1,0,0,0,0,0,0,0,0
RP23-333A18.2,0,0,0,0,1.022648722,0,0,0
