GeneID,Base mean,log2(FC),StdErr,Wald-Stats,PVal,AdjP,% WT
Slc38a7,1218.732135,0.833868737,0.128191185,6.504883611,7.78E-11,3.57E-09,
Dsc2,18.33010276,-3.266507587,0.502739684,-6.497413456,8.17E-11,3.74E-09,
Cxadr,115.0182008,1.806524981,0.278645248,6.483243446,8.98E-11,4.10E-09,
Polrmt,344.3078167,-1.391599901,0.215198412,-6.466590004,1.00E-10,4.57E-09,
RP23-85A17.4,172.013771,1.604922096,0.248510773,6.45815903,1.06E-10,4.82E-09,
Sorbs1,594.4538635,1.599947858,0.248423289,6.440410094,1.19E-10,5.40E-09,
RP23-8J15.5,26366.54664,-1.391460232,0.216299255,-6.433032936,1.25E-10,5.66E-09,
RP23-297M4.4,327.6477283,-3.080290402,0.478944978,-6.431407665,1.26E-10,5.71E-09,
Calb2,217.0630559,-1.505050006,0.234081721,-6.429592204,1.28E-10,5.76E-09,
Rpl37,11530.10093,-0.9120841,0.141983939,-6.423854057,1.33E-10,5.97E-09,
St5,852.1530017,-1.10062949,0.171617384,-6.413275047,1.42E-10,6.39E-09,
Fam181b,690.9291951,-1.035340317,0.161447522,-6.412859766,1.43E-10,6.39E-09,
Chchd10,3456.605619,-0.920812173,0.143611729,-6.411817346,1.44E-10,6.42E-09,
Abca3,1761.746612,-0.899260525,0.14027509,-6.410692908,1.45E-10,6.45E-09,
Hoxb8,1977.7983,-1.714523778,0.267475533,-6.41002099,1.45E-10,6.47E-09,
Rpl28-ps1,2086.402443,-0.942488411,0.147077502,-6.408107277,1.47E-10,6.53E-09,
Nrsn2,697.2612485,-1.000250157,0.156108929,-6.407385946,1.48E-10,6.55E-09,
Plac9b,1060.610623,1.38906545,0.216839892,6.405949744,1.49E-10,6.60E-09,
Pcdhga7,247.703448,1.720138313,0.268821148,6.398820654,1.57E-10,6.90E-09,
Ngfrap1,2583.250789,-0.841873487,0.131580973,-6.398140002,1.57E-10,6.91E-09,
Brap,603.1025131,-1.084430227,0.169618761,-6.39333891,1.62E-10,7.10E-09,
Phka1,29.06853727,3.216337006,0.503053757,6.393624863,1.62E-10,7.10E-09,
Slc6a15,1470.042554,1.344610838,0.210454258,6.389088295,1.67E-10,7.29E-09,
Glra2,216.4905196,-1.769769357,0.277088546,-6.387017376,1.69E-10,7.37E-09,
Sephs1,301.6271901,2.198897653,0.344415535,6.384432259,1.72E-10,7.48E-09,
Cgnl1,1859.234403,0.70656586,0.11068602,6.383514909,1.73E-10,7.51E-09,
C1qa,775.3927963,-1.005759074,0.157619017,-6.380950058,1.76E-10,7.62E-09,
Gpr37l1,455.0131517,-1.394883839,0.218656597,-6.379335714,1.78E-10,7.69E-09,
Pcdhgb7,182.0387268,1.542443358,0.241852407,6.377622531,1.80E-10,7.76E-09,
Setd3,299.7353469,1.234481509,0.193726808,6.372280231,1.86E-10,8.01E-09,
Hjurp,101.2700117,1.947888155,0.30578828,6.370054981,1.89E-10,8.11E-09,
Rsph9,365.7967789,-1.087259616,0.17077005,-6.366805035,1.93E-10,8.27E-09,
Cox6a1,17799.25783,-0.886220899,0.139337489,-6.360247376,2.01E-10,8.61E-09,
Aldoc,4649.94869,-1.074299744,0.168947238,-6.358788442,2.03E-10,8.64E-09,
Fabp1,65.39580803,-2.459465762,0.386773982,-6.358922464,2.03E-10,8.64E-09,
Nxf1,2557.386175,-1.043351252,0.164079935,-6.358798538,2.03E-10,8.64E-09,
Evl,2605.325102,-1.307283987,0.205605761,-6.358206983,2.04E-10,8.65E-09,
Vps53,362.8049772,-1.532365363,0.241104132,-6.35561636,2.08E-10,8.78E-09,
Skor1,85.40436695,-2.369486849,0.372919365,-6.353885233,2.10E-10,8.86E-09,
Hoxa5,638.8142766,-1.444017354,0.227398662,-6.350157644,2.15E-10,9.06E-09,
Prepl,3015.751022,1.003375929,0.15805666,6.348204055,2.18E-10,9.14E-09,
RP23-356G2.1,88.87538529,-2.084053699,0.32828892,-6.348230396,2.18E-10,9.14E-09,
Mturn,7048.910789,0.723072976,0.113958027,6.345081555,2.22E-10,9.31E-09,
Dync1li2,5369.591264,0.674026176,0.106246656,6.34397541,2.24E-10,9.35E-09,
Rbms3,4899.76234,0.627122229,0.09894909,6.337827139,2.33E-10,9.71E-09,
Vstm2l,9104.58636,-0.808432935,0.127627483,-6.334316979,2.38E-10,9.92E-09,
Ppp1r16b,136.8171309,-2.63252887,0.415903537,-6.329662133,2.46E-10,1.02E-08,
Cap1,2244.051357,1.247641497,0.197318308,6.322989032,2.57E-10,1.06E-08,
Krt80,125.1654612,1.79092774,0.283440436,6.318532977,2.64E-10,1.09E-08,
Hap1,1956.867792,-1.402775597,0.222125289,-6.315244906,2.70E-10,1.11E-08,
Ndufa3,1030.981642,-0.985325947,0.156086158,-6.312705486,2.74E-10,1.13E-08,
Dgcr6,2242.411595,-0.940874092,0.149245768,-6.304192754,2.90E-10,1.19E-08,
Lrrc73,560.122839,-1.221538194,0.193768704,-6.304104687,2.90E-10,1.19E-08,
C1ql1,202.9627609,-1.41266631,0.224285256,-6.298525092,3.00E-10,1.23E-08,
Prdx2,5041.134053,-1.061182288,0.168486909,-6.298307044,3.01E-10,1.23E-08,
Rasgrp2,1346.344843,-0.825665067,0.131109378,-6.297528666,3.02E-10,1.23E-08,
Pbx4,263.0742756,-1.305559952,0.207383038,-6.295403724,3.07E-10,1.25E-08,
Shank3,411.6365387,1.597092469,0.253769572,6.293475048,3.10E-10,1.26E-08,
RP24-114K21.2,42.83015184,2.845567306,0.452357629,6.290525733,3.16E-10,1.28E-08,
